,Champions,Games Played,Winning Score,Total Kills,Total Deaths,Total Assists,Time Taken,Solo or Pre,Skin Used?,First Bloods,10 Sit ups/Loss,Game 1 Score,Game 1 Time,Game 2 Score,Game 2 Time,Game 3 Score,Game 3 Time,Game 4 Score,Game 4 Time,Game 5 Score,Game 5 Time,Game 6 Score,Game 6 Time,Game 7 Score,Game 7 Time
31,Fiddlesticks,5.0,10/6/15,21.0,36.0,48.0,2:29:13,Pogo,Dark Candy,0.0,40.0,3/9/8,0:27:10,5/8/9,0:23:24,2/7/11,0:33:36,3/6/5,0:29:56,10/6/15,0:35:07,,,,
32,Fiora,1.0,6/2/4,6.0,2.0,4.0,0:30:37,Pogo,Raven,0.0,0.0,6/2/4,0:30:37,,,,,,,,,,,,
33,Fizz,2.0,6/8/10,8.0,15.0,11.0,0:56:43,Pogo,Omega Squad,1.0,10.0,2/7/1,0:28:38,6/8/10,0:28:05,,,,,,,,,,
34,Galio,5.0,6/0/6,24.0,23.0,43.0,2:15:37,Solo,None,0.0,40.0,1/5/9,0:26:15,10/10/25,0:42:32,4/5/2,0:25:40,3/3/1,0:20:47,6/0/6,0:20:23,,,,
35,Gangplank,2.0,1/3/2,10.0,10.0,9.0,1:13:46,Aegis,Captain,0.0,10.0,9/7/7,0:47:47,1/3/2,0:25:59,,,,,,,,,,
36,Garen,2.0,6/4/6,13.0,9.0,10.0,1:03:50,Aegis,Commando,0.0,10.0,7/5/4,0:27:11,6/4/6,0:36:39,,,,,,,,,,
37,Gnar,2.0,8/2/11,11.0,10.0,24.0,1:09:27,Pogo/Stu,Galaxy,0.0,10.0,3/8/13,0:42:28,8/2/11,0:26:59,,,,,,,,,,
38,Gragas,1.0,2/4/15,2.0,4.0,15.0,0:28:36,Pogo/Stu,None,0.0,0.0,2/4/15,0:28:36,,,,,,,,,,,,
39,Graves,1.0,5/4/14,5.0,4.0,14.0,0:32:17,Pogo/Stu,Jailbreak,0.0,0.0,5/4/14,0:32:17,,,,,,,,,,,,
40,Gwen,1.0,9/0/0,9.0,0.0,0.0,0:22:40,Aegis,Cafe Cuties,1.0,0.0,9/0/0,0:22:40,,,,,,,,,,,,
41,Hecarim,1.0,12/0/14,12.0,0.0,14.0,0:20:06,Aegis,Elderwood,1.0,0.0,12/0/14,0:20:06,,,,,,,,,,,,
42,Heimerdinger,5.0,3/7/8,16.0,22.0,26.0,2:22:58,Pogo/Stu/Aegis,None,1.0,40.0,7/4/11,0:32:50,4/4/8,0:35:51,5/9/6,0:26:13,1/2/1,0:18:04,3/7/8,0:30:00,,,,
43,Illaoi,1.0,4/4/2,4.0,4.0,2.0,0:20:33,Solo,Resistance,0.0,0.0,4/4/2,0:20:33,,,,,,,,,,,,
44,Irelia,4.0,12/3/11,27.0,19.0,15.0,1:56:33,Aegis,Lotus,0.0,30.0,4/5/2,0:20:11,6/4/0,0:31:29,5/7/2,0:26:12,12/3/11,0:38:41,,,,,,
45,Ivern,1.0,1/3/24,1.0,3.0,24.0,0:39:57,Solo,Candy King,0.0,0.0,1/3/24,0:39:57,,,,,,,,,,,,
46,Janna,2.0,0/3/10,1.0,8.0,10.0,0:46:56,Pogo/Aegis,Forecast,0.0,10.0,1/5/6,0:24:51,0/3/10,0:22:05,,,,,,,,,,
47,Jarvan IV,2.0,3/10/26,3.0,16.0,38.0,1:09:38,Pogo,Commando,0.0,10.0,0/6/12,0:37:33,3/10/26,0:32:05,,,,,,,,,,
48,Jax,1.0,3/2/3,3.0,2.0,3.0,0:41:25,Pogo,Mecha Kingdom,0.0,0.0,3/2/3,0:41:25,,,,,,,,,,,,
49,Jayce,1.0,7/4/4,7.0,4.0,4.0,0:27:40,Ladybug,Brighthammer,0.0,0.0,7/4/4,0:27:40,,,,,,,,,,,,
50,Jhin,1.0,10/5/8,10.0,5.0,8.0,0:39:04,Pogo/Stu/Matt,High Noon,0.0,0.0,10/5/8,0:39:04,,,,,,,,,,,,
51,Jinx,1.0,6/2/10,6.0,2.0,10.0,0:21:07,Pogo/Stu,Crime City,0.0,0.0,6/2/10,0:21:07,,,,,,,,,,,,
52,Kai'Sa,3.0,8/7/18,8.0,7.0,18.0,1:37:32,Aegis,None,0.0,20.0,5/9/4,0:30:26,4/7/5,0:30:31,8/7/18,0:36:35,,,,,,,,
53,Kalista,1.0,7/1/9,7.0,1.0,9.0,0:22:53,Aegis,None,0.0,0.0,7/1/9,0:22:53,,,,,,,,,,,,
54,Karma,3.0,4/0/8,8.0,12.0,27.0,1:16:17,Pogo/Stu,Traditional,1.0,20.0,2/5/3,0:31:26,2/7/17,0:25:36,4/0/8,0:19:15,,,,,,,,
55,Karthus,1.0,3/5/6,3.0,5.0,6.0,0:20:11,Pogo/Stu,None,1.0,0.0,3/5/6,0:20:11,,,,,,,,,,,,
56,Kassadin,1.0,4/3/1,4.0,3.0,1.0,0:15:46,Solo,Deep One,0.0,0.0,4/3/1,0:15:46,,,,,,,,,,,,
57,Katarina,6.0,2/6/7,22.0,30.0,38.0,2:55:35,Pogo/Stu,Slay Belle,1.0,60.0,5/4/3,0:23:22,7/2/3,0:28:47,4/9/11,0:39:39,1/7/5,0:30:35,3/2/9,0:25:58,2/6/7,0:27:14,,
58,Kayle,2.0,6/6/11,17.0,10.0,17.0,1:11:28,Solo,Aether Wing,1.0,10.0,11/4/6,0:40:31,6/6/11,0:30:57,,,,,,,,,,
59,Kayn,1.0,11/2/9,11.0,2.0,9.0,0:24:21,Pogo/Stu,Soulhunter,0.0,0.0,11/2/9,0:24:21,,,,,,,,,,,,
60,Kennen,1.0,11/6/10,11.0,6.0,10.0,0:33:18,Pogo/Stu,Deadly,1.0,0.0,11/6/10,0:33:18,,,,,,,,,,,,
61,Kha'Zix,1.0,10/4/9,10.0,4.0,9.0,0:29:07,Pogo/Stu,Death Blossom,0.0,0.0,10/4/9,0:29:07,,,,,,,,,,,,
