Champions,Games Played,Winning Score,Total Kills,Total Deaths,Total Assists,Time Taken,Solo or Pre,Skin Used?,First Bloods,10 Sit ups/Loss,Game 1 Score,Game 1 Time,Game 2 Score,Game 2 Time,Game 3 Score,Game 3 Time,Game 4 Score,Game 4 Time,Game 5 Score,Game 5 Time,Game 6 Score,Game 6 Time,Game 7 Score,Game 7 Time
Fiora,1,6/2/4,6,2,4,0:30:37,Pogo,Raven,0,0,6/2/4,0:30:37,,,,,,,,,,,,
Fizz,2,6/8/10,8,15,11,0:56:43,Pogo,Omega Squad,1,10,2/7/1,0:28:38,6/8/10,0:28:05,,,,,,,,,,
Galio,5,6/0/6,24,23,43,2:15:37,Solo,None,0,40,1/5/9,0:26:15,10/10/25,0:42:32,4/5/2,0:25:40,3/3/1,0:20:47,6/0/6,0:20:23,,,,
Gangplank,2,1/3/2,10,10,9,1:13:46,Aegis,Captain,0,10,9/7/7,0:47:47,1/3/2,0:25:59,,,,,,,,,,
Garen,2,6/4/6,13,9,10,1:03:50,Aegis,Commando,0,10,7/5/4,0:27:11,6/4/6,0:36:39,,,,,,,,,,
Gnar,2,8/2/11,11,10,24,1:09:27,Pogo/Stu,Galaxy,0,10,3/8/13,0:42:28,8/2/11,0:26:59,,,,,,,,,,
Gragas,1,2/4/15,2,4,15,0:28:36,Pogo/Stu,None,0,0,2/4/15,0:28:36,,,,,,,,,,,,
Graves,1,5/4/14,5,4,14,0:32:17,Pogo/Stu,Jailbreak,0,0,5/4/14,0:32:17,,,,,,,,,,,,
Gwen,1,9/0/0,9,0,0,0:22:40,Aegis,Cafe Cuties,1,0,9/0/0,0:22:40,,,,,,,,,,,,
Hecarim,1,12/0/14,12,0,14,0:20:06,Aegis,Elderwood,1,0,12/0/14,0:20:06,,,,,,,,,,,,
Heimerdinger,5,3/7/8,16,22,26,2:22:58,Pogo/Stu/Aegis,None,1,40,7/4/11,0:32:50,4/4/8,0:35:51,5/9/6,0:26:13,1/2/1,0:18:04,3/7/8,0:30:00,,,,
Illaoi,1,4/4/2,4,4,2,0:20:33,Solo,Resistance,0,0,4/4/2,0:20:33,,,,,,,,,,,,
